title,videoId,description,channelId,channelTitle,ChannelPublishedAt,videoPublishedAt,viewCount,likeCount,dislikeCount,commentCount,favoriteCount,duration,caption,licensedContent,channel_videoCount,channel_subscriberCount,channel_commentCount,channel_ViewCount,country
"Japanese Street Food - GIANT OYSTER and Seafood Tour of Tsukiji Market in Tokyo, Japan!",BqdFvgaiynM,Tsukiji Market in Tokyo is one of the best places for Japanese street food! Subscribe for more videos> http://bit.ly/MarkWiensSubscribe T-shirts for sale here> ...,UCyEd6QBSgat5kkC6svyjudA,Mark Wiens,2009-02-02T18:47:12.000Z,2017-08-06T13:00:00.000Z,558362,14601,471,2030,0,PT32M56S,0,0,767,991256,153,212415454,Thailand
How to Eat in Argentina: Street Food & The Classics,4MHBMRgozyM,Learn about the cuisine of Argentina as I eat my way through Buenos Aires and beyond.,UClrpuUlyBhAWJFFK7DOknxg,Anthony Valli,2013-09-20T03:08:43.000Z,2016-09-19T18:29:23.000Z,82763,983,28,215,0,PT10M3S,0,0,9,172,0,83356,0
How To Make Your Food Fancy AF,mraxkfN7bi4,It's time to up your foodie game. Check out more awesome BuzzFeedBlue videos! http://bit.ly/YTbuzzfeedblue1 MUSIC Green Bike Licensed via Warner ...,UCBUVGPsJzc1U8SECMgBaMFw,BuzzFeedBlue,2014-05-05T19:01:18.000Z,2015-10-07T22:24:19.000Z,3340909,46434,1595,1757,0,PT2M50S,0,0,1244,6035316,0,2720761831,0
Food Slime - Satisfying Slime ASMR Video #36!!,et89tSFHkLw,video credits : @slimegalaxyy @unique.slimez @slimestrawberries @slimebymollly Food Slime - Satisfying Slime ASMR Video How to Make slime ...,UC65uoCxBLOBwWifDRnM7YCw,Satisfying Slime ASMR,2015-09-24T09:49:23.000Z,2017-08-04T15:33:32.000Z,508600,5278,269,1069,0,PT5M2S,0,0,582,327478,0,142228276,United States
Pakora Kadhi Recipe By Food Fusion,Ar8dFj4N13A,A lovely Pakora Kadhi recipe for you. Make it like we do and you will love it. #HappyCookingToYou Recipe in English: Ingredients: Prepare Kadhi: -Baisan ...,UCuqBZWK9Wrol_4Y22DzisFQ,Food Fusion,2016-01-29T15:04:43.000Z,2017-08-08T12:38:58.000Z,40663,938,46,93,0,PT2M34S,0,0,416,201625,0,29651911,Pakistan
6 Cute food creations,GV5uW-wq378,"They're super cute, easy and very quick to make. Share with a Valentine's Day party. Latest Video : http://www.thaitrick.com/lastclip Please Like & Share. Thanks ...",UCobJuNZM0teTrd2YLnDUTzA,Thaitrick,2015-04-24T11:27:57.000Z,2017-02-12T11:52:32.000Z,11735018,90161,6598,2240,0,PT5M40S,0,0,65,0,0,207497352,0
Mouthwatering Egg Recipes | Best Indian Street Food Ever,w_RNy2FQ_zw,Like us on facebook: https://www.facebook.com/Street-Food-Unlimited-1646755332320214/ Follow us on twitter: https://twitter.com/StreetFoodU Super Omelet ...,UCQ8FHzPIGnKlbegFLWmFKxQ,Street Food Unlimited,2016-08-21T11:08:52.000Z,2017-06-08T15:44:04.000Z,734379,4385,506,658,0,PT11M30S,0,0,34,23744,0,3021712,India
10 Shocking Things Found In Your Favourite Foods!,bbz2p55C1HM,Top 10 Shocking Things Found In Your Favourite Foods! Subscribe to Top 10s > https://goo.gl/zvGBHe Description: Charlie from Top 10s counts down the top ...,UCRyIP2oznv4UPAl1jmKS5kA,Top 10s,2015-03-08T19:32:55.000Z,2017-07-18T12:50:45.000Z,2516038,20332,2187,6966,0,PT10M1S,0,0,282,1698359,0,551866241,United States
Street Food Japan - A Taste of Delicious Japanese Cuisine Compilation,sWisuBtbypE,1. Hashimaki - Okonomiyaki on a stick 2. Takoyaki - Octopus Ball 3. Yakisoba 4. Okonomiyaki.,UCoCKFuefOSNviiJ9skeR0hA,Street Food World,2016-04-11T14:29:58.000Z,2016-04-24T23:39:07.000Z,7326282,22472,1732,1578,0,PT14M59S,0,0,51,0,0,41854473,United States
Food Emoji Food Challenge,Y8PIcsCtA_k,Download Facemoji here --- http://bit.ly/Facemoji-FoodChallenge iPhone Giveaway Details!! - Comment below with your favorite feature of the app to enter the ...,UCd1fLoVFooPeWqCEYVUJZqg,Matt Stonie,2012-08-24T04:47:23.000Z,2017-05-31T20:49:00.000Z,3847720,93962,3170,23474,0,PT11M11S,0,0,287,3046920,158,578351131,United States
Cats cuddle and Feral dogs eating food on the street,hHPTFb-XXbI,Cats cuddle and Feral dogs eating food on the street.,UCTZUTvv_1Onm-f-533Hyurw,Robin Seplut,2014-05-11T07:29:31.000Z,2017-08-07T13:00:30.000Z,35052,1998,19,598,0,PT9M25S,0,0,625,111030,0,38620695,0
KIDS EAT GREEK VEGETABLES! | Kids Vs. Food,yPZXwgkRJgo,Greek Vegetables tried by Kids! Watch all People Vs Food Eps! http://goo.gl/KjLw5C SUBSCRIBE THEN HIT THE ! New Videos 12pm PST on REACT!,UCHEf6T_gVq4tlW5i91ESiWg,REACT,2013-07-30T10:19:47.000Z,2017-08-03T19:00:08.000Z,503203,11042,346,4962,0,PT6M30S,0,0,917,8084568,0,2054460364,0
Indian Road Trip/ Picnic Food Preparations ll Indian Travel / Trip Food l English Subtitles Added.,57odzCsdrR0,In Today's video I will be showing you how I prepare whenever I go on a road trip. What food items I carry with me and what other options you can have in case ...,UCEE0m8eakHrCVaSJ0BOE1Xg,RealLife RealHome,2017-01-02T23:33:24.000Z,2017-08-07T19:17:24.000Z,50413,1341,68,413,0,PT6M41S,0,0,62,71332,0,6366532,United States
FRIED POTATO BALLS - Tasty and Easy Food Recipes For Dinner to make at home - Cooking videos,nqXz8hhAYGo,written http://goo.gl/Ahcquu cooking videos for begginers. simple and quick junk dishes. How to make fried crispy potato balls. Poms. I remember when I was a ...,UCN_mEa9cavDEBpiSs0q361A,Long live the cooking!,2014-08-07T14:53:58.000Z,2015-01-22T17:42:58.000Z,4175118,25884,1629,754,0,PT2M18S,0,0,46,131678,0,19147056,Spain
Gummy Food vs. Real Food Gross Food Challenge,MZD8sosvLaQ,"Kaycee & Rachel finally did the challenge ""Gummy food vs. real food"" after so many requests! So, now here it is! Hope you enjoy this challenge and tell us what ...",UCAQ7PeJwX2F6_odruI6iqrg,KAYCEE & RACHEL in WONDERLAND,2016-01-20T04:10:16.000Z,2017-02-26T02:40:37.000Z,46221214,117429,36645,15183,0,PT13M46S,0,0,180,1693366,0,1366586270,Philippines
6 Times Gordon Ramsay Actually LIKED THE FOOD! | Kitchen Nightmares COMPILATION,XVMxZMxkAgM,"It's a well known fact that Gordon Ramsay isn't usually a fan of the cuisine on offer at the Kitchen Nightmares restaurants. However, over the many, many shows ...",UCUZzyuAlhHNP3oiuMjn7RfQ,Kitchen Nightmares,2008-08-04T04:09:40.000Z,2017-05-06T15:00:04.000Z,11293452,129734,1780,8497,0,PT6M3S,0,0,774,1389700,1,767432453,0
"33 Day Weight loss Challenge ,Day 1 my food",mM51tRjOTE4,,UCg01vik67lOOmjzp6iWmcxw,Karimashi lover,2016-10-11T05:48:24.000Z,2017-08-08T17:08:53.000Z,6142,165,9,164,0,PT2M1S,0,0,57,15771,0,1056586,India
Incredible Omani Food and Attractions in Muscat (Camel Feast)!,en2-nTgwfW4,Check out my Muscat Travel Guide: https://goo.gl/bGfsoJ >Subscribe to my videos: http://bit.ly/MarkWiensSubscribe >Watch the full playlist: http://bit.ly/2cBTPA0 ...,UCyEd6QBSgat5kkC6svyjudA,Mark Wiens,2009-02-02T18:47:12.000Z,2016-09-18T13:00:05.000Z,1200388,15264,684,3155,0,PT33M15S,0,0,767,991256,153,212415454,Thailand
GUMMY FOOD vs. REAL FOOD CHALLENGE!!! Kids Eat a Real Frog!,LfMDcZAiUKM,Click here for GUMMY VS. REAL PIZZA CHALLENGE!: https://youtu.be/oMRx12zbTWQ Click here to see the REAL VS. GUMMY Parents Edition: ...,UCHa-hWHrTt4hqh-WiHry3Lw,EvanTubeHD,2011-09-21T00:02:28.000Z,2017-02-25T15:45:14.000Z,28767399,155702,36283,38599,0,PT14M47S,0,0,535,4512454,902,2971066687,0
Chinese Street Food Tour Around China | Most Unique Chinese Street Food of 2016,e1QThvrEMr4,Follow me on Insta: http://bit.ly/2c5ojch And subscribe to my channel here: http://bit.ly/2cCy2ub Street Food - Chinese Street Food - Best Street Food China In this ...,UCiAq_SU0ED1C6vWFMnw8Ekg,The Food Ranger,2013-03-13T06:36:41.000Z,2016-12-24T02:00:01.000Z,1928846,20984,874,1994,0,PT13M9S,0,0,144,858613,0,107733575,China
Japanese Street Food - GIANT PARROTFISH SASHIMI Okinawa Japan,y7xyVXmEr74,,UCHKVXtT1YBCYUnnr4apqXfg,Travel Thirsty,2013-01-20T18:19:54.000Z,2017-06-02T12:00:04.000Z,8211243,24353,6650,4497,0,PT15M3S,0,0,268,284493,0,126828455,0
Unlucky People Who Painfully Lost The Food Lottery,g18pXHwRWCQ,"The food lottery is the closest thing you'll get to winning an actual lottery. But, the poor souls in this video lost that food lottery. The unlucky people in this video ...",UCkQO3QsgTpNTsOw6ujimT5Q,Be Amazed,2015-07-22T14:40:07.000Z,2017-08-03T15:09:29.000Z,1261434,11077,1880,3125,0,PT14M3S,0,0,324,1052369,0,235352801,0
The Imagawayaki Cake from Japan. London Street Food of Brick Lane,ydcVcVYWhD0,,UCdNO3SSyxVGqW-xKmIVv9pQ,settime2588,2006-12-06T12:49:31.000Z,2017-05-01T18:49:16.000Z,2223392,12997,1255,763,0,PT10M8S,0,0,1601,175708,0,162618645,United Kingdom
Breakfasts | American Kids Try Food From Around the World | Ep 1,JGjeaHe7GkY,Special thanks to our friends at http://www.kitchenbowl.com for helping us get a real chef for this project! Download their app ...,UCbaGn5VkOVlcRgIWAHcrJKA,WatchCut Video,2014-10-29T19:59:06.000Z,2015-02-10T18:00:00.000Z,20863243,132263,5902,28242,0,PT3M47S,0,0,427,2545822,0,649423897,0
TRYING FOOD FROM AROUND THE WORLD!!,jaGY9vPbJaY,Check out MunchPak :: https://munchpak.com/ > Subscribe to MoreTDM :: http://bit.ly/1rToQRg > Twitter :: http://www.twitter.com/DiamondMinecart > Instagram ...,UCmr0m5RQoEDXQY3hFBIEK3w,MoreTDM,2014-10-02T19:43:50.000Z,2015-03-29T17:05:32.000Z,11815622,123618,2954,43042,0,PT11M10S,0,0,197,2998633,0,463604668,0
Foreigner Learning Ilocano Language and Cooking Ilocano Food (Part 1),rRMtKK2GHPw,"Foreigner Learning Ilocano Language and Cooking Ilocano Food... You won't see the cooking part yet, but in this video you will see a raw morning of me trying ...",UCqdBWKP4_8bU-Rsk2LvVz6Q,Kyle Jennermann,2006-12-30T10:36:25.000Z,2017-08-01T08:03:55.000Z,59596,1740,24,459,0,PT8M37S,0,0,335,121848,0,31536178,0
How Animals Eat Their Food | MisterEpicMann,qnydFmqHuVo,BLOOPERS: http://www.youtube.com/watch?v=c4UMazLvKco Patreon: http://full.sc/2hYVmPU.,UCSBzN-I43cp0-xekSFW5mkQ,Mister Epic Mann,2009-11-17T05:26:16.000Z,2013-04-09T00:15:09.000Z,128463123,1218722,31472,87418,0,PT1M26S,0,0,116,3520542,1403,382145832,0
Weird Ways to Sneak Food Into Class! Back to School Hacks & Pranks 2017! Natalies Outlet,jFR0dN11Pos,OMG! Learn these weird ways to sneak food into class! Sneaky and clever ways to sneak food using back to school supplies!The perfect way to prank your ...,UCIOUkPJZtWThQBtkCRniSBw,Natalies Outlet,2014-08-13T23:39:15.000Z,2017-08-05T19:36:05.000Z,3603381,147211,3706,33372,0,PT6M49S,0,0,197,4225561,0,468334248,0
English Food Idioms |  FOOD  | How to SAY & USE them!,v3Kw51WO6ps,"English idioms can be frustrating to understand and use at the best of times. In this video, I'll teach you how to use some of my favourite 'food' idioms!",UCrRiVfHqBIIvSgKmgnSY66g,mmmEnglish,2015-09-05T16:26:29.000Z,2017-01-15T05:14:12.000Z,232712,5074,68,600,0,PT6M54S,0,0,50,519525,0,16514126,Australia
> MOST SATISFYING FOOD SLIME VIDEO #3 ASMR <,niw8zIt6ddI,ONLY FOOD SLIMES!!! SUPER SATISFYING FOOD SLIME COMPILATION FROM INSTA! ENJOY IT. AND RELAX. THANKS FOR WATCHING ^^. PARTNER ...,UCaujLEQfTlaTvtfk-9RXp8Q,ReSHka 94,2015-08-10T21:43:39.000Z,2017-08-02T15:11:28.000Z,638022,6723,372,1115,0,PT7M1S,0,0,100,124906,0,30953684,0
Japanese Street Food - SUPER FAST MOCHI POUNDING Japan,XpChfjSUFMo,,UCHKVXtT1YBCYUnnr4apqXfg,Travel Thirsty,2013-01-20T18:19:54.000Z,2017-08-03T12:30:01.000Z,500897,2879,286,415,0,PT10M3S,0,0,268,284493,0,126828455,0
THE BEST FOOD IN NEW YORK! - Fung Bros Food,wfm47iRLLio,We left out a lot of places because we couldn't have gone everywhere. In the comments below let us know where we should go next time we're in NYC! > FUNG ...,UC9avFXTdbSo5ATvzTRnAVFg,FUNG BROS.,2011-05-22T00:19:55.000Z,2016-11-21T13:00:03.000Z,211112,3449,168,331,0,PT8M8S,0,0,558,1700760,226,280649564,United States
Bizarre Foods with Andrew Zimmern: Cowboy Life in Texas,yHQeUMBBjh4,"We're giving YouTube fans a special look at Travel Channel's hit series, ""Bizarre Foods with Andrew Zimmern."" Watch the entire season premiere right here and ...",UCJUAqHnkDX15IvFoXIGTm2A,Travel Channel,2007-02-12T22:07:35.000Z,2017-08-03T10:00:04.000Z,16444,115,6,10,0,PT42M4S,0,0,232,122684,2532,6390111,0
Food Slime - Satisfying Dessert Slime ASMR !,rJWvo-Yb4m8,video credits: @tastyslimebakery @galaxyofslimee @blehbagels @crispycrunchs @slimeplistic Food Slime - Satisfying Dessert Slime ASMR Video How to ...,UC65uoCxBLOBwWifDRnM7YCw,Satisfying Slime ASMR,2015-09-24T09:49:23.000Z,2017-08-06T15:00:05.000Z,210663,2378,135,712,0,PT5M34S,0,0,582,327478,0,142228276,United States
Animals That Hilariously Look like Food,Fs8hTk3Y7go,"Sorry, vegan and vegetarian friends- but, technically, animals ARE delicious. Chicken, fish, cow and pigs all make some of your favorite dinner items.",UCTTQAOiR_0DuyQPZ6Dg-LHA,Talltanic,2014-06-13T19:41:42.000Z,2017-08-02T23:00:01.000Z,1457223,9630,3612,3347,0,PT10M7S,0,0,1247,1282434,0,681224235,United States
Muslim Chinese Street Food Tour in Islamic China | BEST Halal Food and Islam Food in China,ETkZpJcZhkI,Follow me on Insta: http://bit.ly/TheFoodRanger And subscribe to my channel here: http://bit.ly/2cCy2ub Chinese Street Food Islam - Muslim Chinese Street Food ...,UCiAq_SU0ED1C6vWFMnw8Ekg,The Food Ranger,2013-03-13T06:36:41.000Z,2016-11-26T12:00:00.000Z,3171738,45202,1685,8041,0,PT13M48S,0,0,144,858613,0,107733575,China
REAL FOOD VS GUMMY FOOD EXTREME | GROSS GIANT CANDY CHALLENGE!!,4PCPAfYml7M,REAL FOOD VS GUMMY FOOD EXTREME Subscribe To DJ's Channel: https://goo.gl/uFb8UM Subscribe To Biannca's Channel: https://goo.gl/yxgWJv THE ...,UC5LGPvoUOfwcLi4Ck8LiR4A,THE PRINCE FAMILY,2016-08-23T23:43:02.000Z,2017-08-05T02:53:44.000Z,1038694,49703,1052,4452,0,PT27M5S,0,0,154,863563,0,65938170,United States
How-To: Make Fast Food Nuggets,qQfu9tNLeg0,"MUNCHIES Culinary Director, Farideh Sadeghin, shows us how to make chicken nuggets that taste just like your favorite childhood fast food versions, only ...",UCaLfMkkHhSA_LaCta0BzyhQ,Munchies,2014-03-24T21:21:29.000Z,2017-08-04T11:00:04.000Z,309185,6989,198,422,0,PT4M9S,0,0,695,1806266,0,320078928,United States
Cinnamon Roll Ice Cream Bowls | Get the Dish,ZGQVxF_yW54,"We've seen quite a few edible bowls in our time, from brownie bowls to chocolate sprinkle bowls and more. The newest way to enjoy your ice cream? Bowls ...",UC1aJuxLHlw8bBV6mfCqVfog,POPSUGAR Food,2010-02-12T20:13:12.000Z,2017-08-08T16:00:04.000Z,25953,1385,15,149,0,PT2M31S,0,0,1073,1075090,30,142858787,0
"GUMMY vs. REAL FOOD CHALLENGE! LIVE Animals SCARES, PRANKS & FUN (Chase's Corner #48 DOH MUCH FUN)",lVwFUZOiK6Q,"Chase & his cousin Anthony are doing the GUMMY vs. REAL Food Challenge! Not everything REAL can be eaten, like a SNAKE, a Frog, a Lizard, Spider, ...",UCp8OJimQWM728_ZU0iQpBUQ,DohMuchFun,2015-03-09T15:08:38.000Z,2017-03-10T23:56:05.000Z,33609875,106470,24603,20978,0,PT20M14S,0,0,56,1307520,0,722874799,0
FOOD KING: BURGERS GALORE!,IkWZ_MzjNYo,"Suns out, buns out! In this episode we pay tribute to the American culture where burgers are found in every nook and cranny. It definitely is finger-licking' good!",UC8az0OO4wXXu2k0ifJjxxBg,Ryan Sylvia,2011-09-12T18:24:45.000Z,2017-08-04T07:01:13.000Z,225238,3959,85,401,0,PT11M49S,0,0,279,597162,26,165834068,Singapore
Street Food In Germany | Amazing Street Foods In Germany,m7BMd70vfoI,,UCoCKFuefOSNviiJ9skeR0hA,Street Food World,2016-04-11T14:29:58.000Z,2016-10-30T12:24:30.000Z,2637256,10134,822,1340,0,PT10M4S,0,0,51,0,0,41854473,United States
Most Hilarious Food Lies Ever! (ads fails),Sm0qstqfHLs,20+ Of The Worst Packaging And Labeling Fails Ever! Follow me in Instagram: https://www.instagram.com/myyoungyears/,UC0ZSt8-plDvXolbZNLMe0Fg,Tracey 28,2016-08-27T20:40:39.000Z,2017-03-05T13:52:40.000Z,118755,1077,155,444,0,PT10M22S,0,0,295,0,0,86727076,0
Mini Food Pancake Shi hereruminichiyua hotsutokeki,97Z6E9Zk43I,Twitter https://twitter.com/aaajoken I made a miniature hot cake I was able to make a very simple Tool I bought in Japan You cook it is to eat small in miniature.,UCTFT5NbDl0Fa_fE9Cz_yOAA,Miniature Space,2014-11-27T03:22:49.000Z,2015-01-17T21:00:07.000Z,9858930,52755,1797,5934,0,PT3M,0,0,246,1526672,0,243995279,0
10K Calorie Challenge | Girl VS Food | Epic Cheat Day | Trisha Paytas,tdWNy2OcPns,VLOGMAS WILL BE ON MY SECOND CHANNEL THIS YEAR! SUBSCRIBE!!!!!!! (vlogging every single day in december) http://www.youtube.com/TrishasLife ...,UCF2oW5-MO8dB6ul9WH9xi0A,blndsundoll4mj,2007-01-04T07:42:40.000Z,2016-12-15T15:35:26.000Z,2360667,24212,9010,13290,0,PT51M12S,0,0,1880,2852173,9657,1026247592,0
GUMMY FOOD VS. REAL FOOD | met GewoonThomas,3xxIc9FiQss,Vandaag doen Thomas en ik de GUMMYFOOD vs. REAL FOOD challenge! Benieuwd wat er op ons bord ligt? Het wordt een feest! Abonneer op Thomas: ...,UC4I8WYQtX-h7J5u0xz5tLLA,OnneDi,2011-01-05T07:34:52.000Z,2017-08-08T14:00:30.000Z,321617,16825,272,1942,0,PT11M59S,0,0,364,583246,2166,119786232,0
